DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-04-16_10:08:44,"40.736187463626266, -81.90351454541087",7.25,8.17,0.04
2026-04-16_10:08:44,"40.736182602122426, -81.90349945798516",3.41,0.13,0.0
2026-04-16_10:08:47,"40.73617924936116, -81.90348604694009",9.19,8.23,0.04
2026-04-16_10:08:50,"40.73617053218186, -81.90345721319318",8.23,8.37,0.05
2026-04-16_10:08:52,"40.73616114445031, -81.90342972055078",8.56,8.17,0.05
2026-04-16_10:08:55,"40.73615209199488, -81.90340323373675",8.43,6.63,0.05
2026-04-16_10:08:57,"40.736147398129106, -81.90338144078851",8.73,8.33,0.07
2026-04-16_10:09:00,"40.73613767512143, -81.90334925428033",8.73,8.3,0.05
2026-04-16_10:09:02,"40.73612895794213, -81.90332109108567",9.06,8.37,0.06
2026-04-16_10:09:05,"40.73612107895315, -81.9032939337194",8.63,8.01,0.04
2026-04-16_10:09:07,"40.73611236177385, -81.90326543524861",11.12,8.23,0.05
2026-04-16_10:09:10,"40.73610364459455, -81.90323693677783",12.53,8.3,0.06
2026-04-16_10:09:12,"40.73609492741525, -81.9032091088593",12.53,8.04,0.06
2026-04-16_10:09:15,"40.73608755134046, -81.90318262204528",12.14,8.37,0.06
2026-04-16_10:09:17,"40.73608101345599, -81.90315680578351",13.35,8.3,0.06
2026-04-16_10:09:19,"40.73607279919088, -81.90312931314111",10.79,6.53,0.04
2026-04-16_10:09:22,"40.736064249649644, -81.90310215577483",9.45,8.2,0.05
2026-04-16_10:09:24,"40.73605536483228, -81.9030743278563",9.42,8.17,0.06
2026-04-16_10:09:27,"40.73604681529105, -81.90304582938552",9.15,8.27,0.05
2026-04-16_10:09:30,"40.73603977449238, -81.90301867201924",11.71,8.2,0.05
2026-04-16_10:09:32,"40.735986130312085, -81.90299956128001",1.67,0.13,0.0
2026-04-16_10:09:32,"40.73603139258921, -81.90299050882459",9.81,8.17,0.05
2026-04-16_10:09:35,"40.73602334596217, -81.90296502783895",10.1,8.07,0.05
2026-04-16_10:09:37,"40.73601563461125, -81.90293753519654",10.53,8.17,0.05
2026-04-16_10:09:40,"40.73600691743195, -81.90290803089738",10.33,8.14,0.06
2026-04-16_10:09:42,"40.73599987663329, -81.90288154408336",8.04,8.07,0.05
2026-04-16_10:09:44,"40.735994009301066, -81.90286008641124",7.48,3.74,0.01
2026-04-16_10:09:47,"40.735987136140466, -81.90283762291074",9.78,8.37,0.04
2026-04-16_10:09:49,"40.73597892187536, -81.90280912443995",11.68,8.04,0.07
2026-04-16_10:09:52,"40.73597087524831, -81.90278196707368",12.01,8.33,0.08
2026-04-16_10:09:55,"40.73596333153546, -81.90275514498353",14.63,8.27,0.07
2026-04-16_10:09:57,"40.73595595546067, -81.902727317065",11.75,8.33,0.07
2026-04-16_10:09:59,"40.73595109395683, -81.9027085416019",8.04,2.79,0.01
2026-04-16_10:10:42,"40.736044300720096, -81.90268037840724",12.7,8.37,0.06
2026-04-16_10:10:42,"40.73600457049906, -81.90270552411675",12.6,8.1,0.05
2026-04-16_10:10:45,"40.736052514985204, -81.90271055325866",11.58,8.17,0.07
2026-04-16_10:10:45,"40.736012449488044, -81.90273368731141",13.98,8.2,0.06
2026-04-16_10:10:47,"40.736059891059995, -81.9027410633862",10.76,8.01,0.07
2026-04-16_10:10:47,"40.73601848445833, -81.90275950357318",14.11,8.01,0.07
2026-04-16_10:10:49,"40.73606709949672, -81.90276654437184",13.42,8.3,0.07
2026-04-16_10:10:49,"40.73602602817118, -81.90278666093946",10.83,8.3,0.07
2026-04-16_10:10:51,"40.73607531376183, -81.90279336646199",12.96,8.37,0.07
2026-04-16_10:10:51,"40.73603457771242, -81.90281482413411",11.42,8.37,0.06
2026-04-16_10:10:54,"40.73608319275081, -81.90281784161925",11.42,8.2,0.07
2026-04-16_10:10:54,"40.73604312725365, -81.90284164622426",8.4,7.61,0.03
2026-04-16_10:10:56,"40.73609107173979, -81.90284365788102",10.07,8.37,0.05
2026-04-16_10:10:57,"40.736055532470345, -81.9028795324266",9.09,8.04,0.05
