DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-04-28_09:58:44,"40.736399525776505, -81.90251877531409",7.74,5.12,0.03
2026-04-28_09:58:45,"40.73640472255647, -81.90246446058154",10.24,5.25,0.02
2026-04-28_09:58:45,"40.7364100869745, -81.90251844003797",7.45,2.43,0.02
2026-04-28_09:58:46,"40.73641964234412, -81.90246446058154",10.07,5.28,0.02
2026-04-28_09:58:46,"40.73642165400088, -81.90251844003797",7.28,5.15,0.02
2026-04-28_09:58:48,"40.73643338866532, -81.90246379002929",9.91,5.31,0.03
2026-04-28_09:58:48,"40.736437076702714, -81.90251810476184",8.33,5.35,0.03
2026-04-28_09:58:48,"40.73644227348268, -81.90246345475316",6.3,1.12,0.0
2026-04-28_09:58:49,"40.736450320109725, -81.90251743420959",9.38,4.43,0.03
2026-04-28_09:58:50,"40.73645400814712, -81.9024627842009",9.48,5.35,0.02
2026-04-28_09:58:51,"40.73646473698318, -81.90251709893346",6.69,5.18,0.03
2026-04-28_09:58:51,"40.73646859265864, -81.9024627842009",10.43,5.31,0.02
2026-04-28_09:58:52,"40.736479656770825, -81.9024627842009",9.42,2.59,0.02
2026-04-28_09:58:53,"40.736478650942445, -81.90251709893346",8.66,5.31,0.03
2026-04-28_09:58:54,"40.73649172671139, -81.90251676365733",7.25,3.97,0.02
2026-04-28_09:58:54,"40.736490385606885, -81.90246244892478",10.14,4.53,0.02
2026-04-28_09:58:56,"40.73650614358485, -81.90246211364865",10.33,5.28,0.03
2026-04-28_09:58:56,"40.7365086581558, -81.9025164283812",8.01,5.28,0.03
2026-04-28_09:58:57,"40.73652039282024, -81.90246211364865",9.88,5.22,0.03
2026-04-28_09:58:57,"40.736522404477, -81.9025164283812",8.53,5.22,0.03
2026-04-28_09:58:59,"40.73653514496982, -81.90246211364865",9.91,5.15,0.03
2026-04-28_09:58:59,"40.73653900064528, -81.90251609310508",7.45,5.28,0.03
2026-04-28_09:59:00,"40.73654872365296, -81.90246177837253",10.43,5.09,0.03
2026-04-28_09:59:01,"40.73655308224261, -81.9025164283812",8.2,5.09,0.02
2026-04-28_09:59:02,"40.73656213469803, -81.90246177837253",8.17,5.12,0.02
2026-04-28_09:59:02,"40.736567163839936, -81.90251609310508",7.78,3.94,0.02
2026-04-28_09:59:03,"40.73657671920955, -81.90246110782027",10.66,5.38,0.02
2026-04-28_09:59:04,"40.736588621512055, -81.90246110782027",10.79,2.85,0.02
2026-04-28_09:59:05,"40.736591974273324, -81.90251542255282",7.74,5.25,0.02
2026-04-28_09:59:06,"40.73660337366164, -81.90246110782027",9.35,5.18,0.02
2026-04-28_09:59:06,"40.73660605587065, -81.90251542255282",7.55,5.18,0.02
2026-04-28_09:59:08,"40.736617958173156, -81.9024614430964",10.2,5.15,0.03
2026-04-28_09:59:08,"40.7366191316396, -81.90251575782895",7.74,5.15,0.02
2026-04-28_09:59:09,"40.73663069866598, -81.9024614430964",9.94,4.72,0.02
2026-04-28_09:59:10,"40.73663321323693, -81.90251575782895",8.96,5.02,0.02
2026-04-28_09:59:11,"40.73664545081556, -81.90246077254415",10.96,5.15,0.03
2026-04-28_09:59:11,"40.736650647595525, -81.90251441672444",8.27,5.02,0.02
2026-04-28_09:59:12,"40.73665819130838, -81.90251408144832",6.66,0.79,0.0
2026-04-28_09:59:12,"40.73665835894644, -81.90246010199189",9.78,5.15,0.02
2026-04-28_09:59:14,"40.73667126707733, -81.90245943143964",10.47,4.36,0.02
2026-04-28_09:59:16,"40.73668719269335, -81.90245909616351",9.81,5.09,0.02
2026-04-28_09:59:16,"40.73669188655913, -81.90251341089606",8.66,5.31,0.03
2026-04-28_09:59:17,"40.73670110665262, -81.90245909616351",10.07,5.22,0.03
