DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-05-12_09:17:11,"40.73640405200422, -81.90252078697085",8.1,5.22,0.04
2026-05-12_09:17:11,"40.7364100869745, -81.9024664722383",10.47,5.35,0.03
2026-05-12_09:17:12,"40.73641846887767, -81.90252112224698",7.58,5.31,0.04
2026-05-12_09:17:13,"40.73642450384796, -81.90246680751443",10.37,5.31,0.03
2026-05-12_09:17:14,"40.736433723941445, -81.90252078697085",7.84,5.25,0.02
2026-05-12_09:17:15,"40.736437579616904, -81.9024664722383",9.94,5.25,0.03
2026-05-12_09:17:15,"40.73644747026265, -81.90246613696218",10.07,1.64,0.01
2026-05-12_09:17:16,"40.73644847609103, -81.90252045169473",9.55,5.25,0.04
2026-05-12_09:17:17,"40.7364587020129, -81.90246580168605",9.61,5.31,0.03
2026-05-12_09:17:18,"40.73646239005029, -81.9025201164186",9.58,5.09,0.03
2026-05-12_09:17:19,"40.73647345416248, -81.90246546640992",10.63,5.18,0.03
2026-05-12_09:17:19,"40.7364756334573, -81.90251978114247",8.73,5.18,0.04
2026-05-12_09:17:21,"40.73648820631206, -81.90246546640992",9.58,5.28,0.03
2026-05-12_09:17:21,"40.73649005033076, -81.90251944586635",7.74,5.18,0.03
2026-05-12_09:17:22,"40.7364999409765, -81.90251911059022",7.28,1.71,0.01
2026-05-12_09:17:23,"40.73650346137583, -81.9024651311338",10.33,5.28,0.04
2026-05-12_09:17:24,"40.7365136872977, -81.90251877531409",8.04,5.25,0.04
2026-05-12_09:17:25,"40.73651787824929, -81.90246446058154",10.63,5.12,0.03
2026-05-12_09:17:26,"40.736528439447284, -81.90251844003797",8.69,5.22,0.04
2026-05-12_09:17:27,"40.73653279803693, -81.90246446058154",10.07,5.25,0.04
2026-05-12_09:17:28,"40.7365430239588, -81.90251844003797",7.68,5.22,0.03
2026-05-12_09:17:28,"40.73654687963426, -81.90246412530541",10.63,5.02,0.03
2026-05-12_09:17:30,"40.736557776108384, -81.90251877531409",8.33,5.02,0.03
2026-05-12_09:17:30,"40.7365604583174, -81.90246412530541",8.17,5.02,0.03
2026-05-12_09:17:31,"40.73657219298184, -81.90251810476184",7.87,4.59,0.02
2026-05-12_09:17:32,"40.736576383933425, -81.90246412530541",10.79,5.35,0.03
2026-05-12_09:17:34,"40.736590130254626, -81.9024627842009",10.76,5.31,0.03
2026-05-12_09:17:34,"40.73659515939653, -81.90251709893346",7.97,5.09,0.02
2026-05-12_09:17:36,"40.73660773225129, -81.90246177837253",9.74,5.38,0.03
2026-05-12_09:17:36,"40.73660991154611, -81.90251575782895",7.78,5.12,0.02
2026-05-12_09:17:37,"40.736622316762805, -81.90246110782027",10.3,5.22,0.03
2026-05-12_09:17:37,"40.73662399314344, -81.90251542255282",7.78,5.22,0.02
2026-05-12_09:17:39,"40.7366365659982, -81.90246110782027",10.2,5.09,0.03
2026-05-12_09:17:39,"40.736637907102704, -81.90251542255282",9.12,5.22,0.03
2026-05-12_09:17:41,"40.73665182106197, -81.90246110782027",11.19,5.25,0.03
2026-05-12_09:17:41,"40.73665584437549, -81.90251542255282",8.2,5.38,0.02
2026-05-12_09:17:42,"40.736665735021234, -81.90246110782027",10.04,5.18,0.03
2026-05-12_09:17:44,"40.73667830787599, -81.9024614430964",10.6,3.71,0.03
2026-05-12_09:17:46,"40.73669356293976, -81.90246077254415",9.91,5.25,0.03
2026-05-12_09:17:46,"40.73669590987265, -81.9025150872767",8.6,5.05,0.03
2026-05-12_09:17:48,"40.736707812175155, -81.90246010199189",10.37,5.35,0.04
2026-05-12_09:17:48,"40.73671099729836, -81.90251475200057",8.56,5.35,0.03
2026-05-12_09:17:49,"40.7367227319628, -81.90246010199189",10.47,5.02,0.03
2026-05-12_09:17:50,"40.73672574944794, -81.90251441672444",8.99,5.02,0.03
2026-05-12_09:17:51,"40.73673496954143, -81.90245909616351",10.14,5.18,0.03
2026-05-12_09:17:51,"40.73674167506397, -81.90251274034381",8.66,5.05,0.02
2026-05-12_09:17:52,"40.73674435727298, -81.90245876088738",9.97,1.67,0.01
2026-05-12_09:17:52,"40.73675307445228, -81.90251206979156",7.35,3.08,0.02
2026-05-12_09:18:05,"40.73685181327164, -81.90246043726802",9.15,5.02,0.03
2026-05-12_09:18:06,"40.73685851879418, -81.90251441672444",7.15,4.76,0.03
2026-05-12_09:18:06,"40.73686606250703, -81.90246010199189",9.58,5.22,0.03
2026-05-12_09:18:08,"40.73687679134309, -81.90251441672444",8.76,4.69,0.02
2026-05-12_09:18:08,"40.7368799764663, -81.90246010199189",9.71,5.18,0.04
2026-05-12_09:18:10,"40.73689389042556, -81.90251441672444",9.09,4.2,0.02
2026-05-12_09:18:10,"40.73689456097782, -81.90246010199189",10.47,5.15,0.04
2026-05-12_09:18:11,"40.73690830729902, -81.90246043726802",8.76,5.12,0.03
2026-05-12_09:18:12,"40.73691166006029, -81.90251475200057",8.2,5.25,0.02
2026-05-12_09:18:13,"40.736922891810536, -81.90246010199189",9.25,5.15,0.03
2026-05-12_09:18:14,"40.73692590929568, -81.90251441672444",8.5,5.15,0.03
2026-05-12_09:18:15,"40.73693663813174, -81.90245943143964",9.06,5.15,0.04
2026-05-12_09:18:15,"40.73694099672139, -81.90251374617219",8.33,5.02,0.03
2026-05-12_09:18:16,"40.736950216814876, -81.90251341089606",8.23,2.07,0.01
2026-05-12_09:18:16,"40.736950719729066, -81.90245943143964",9.19,5.09,0.04
2026-05-12_09:18:18,"40.73696346022189, -81.90251341089606",8.17,3.35,0.02
2026-05-12_09:18:18,"40.73696446605027, -81.90245909616351",8.99,5.02,0.04
2026-05-12_09:18:20,"40.73697636835277, -81.90251341089606",8.79,5.25,0.02
2026-05-12_09:18:20,"40.73697871528566, -81.90245909616351",9.45,4.99,0.04
2026-05-12_09:18:21,"40.73699095286429, -81.90251341089606",8.69,5.31,0.03
2026-05-12_09:18:22,"40.73699279688299, -81.90245943143964",10.43,5.31,0.05
2026-05-12_09:18:23,"40.73700604029, -81.90251307561994",9.74,5.25,0.03
2026-05-12_09:18:23,"40.737006878480315, -81.90245909616351",10.14,5.22,0.04
2026-05-12_09:18:25,"40.7370216306299, -81.90251240506768",7.97,5.25,0.03
2026-05-12_09:18:25,"40.73702096007764, -81.90245809033513",8.46,5.25,0.04
